step	geopolitical_risk	energy_price_pressure	labor_market_uncertainty	compute_supply_constraint	fiscal_pressure	supply_chain_fragility	sns_anxiety_amplification	japan_policy_buffer	dominant_world_pressure	high_risk_countries	world_context_for_agents
1	65.9	58.9	50.7	47.4	53.1	56.1	56.4	50.0	地政学リスク	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ1: 地政学リスクが65.9。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は50.0。
2	67.4	58.8	57.0	56.2	56.1	59.1	61.8	46.9	地政学リスク	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ2: 地政学リスクが67.4。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は46.9。
3	72.1	61.2	60.2	63.3	59.1	68.7	66.9	43.5	地政学リスク	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ3: 地政学リスクが72.1。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は43.5。
4	75.2	73.0	62.8	64.5	62.7	71.1	70.7	40.4	地政学リスク	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ4: 地政学リスクが75.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は40.4。
5	77.2	71.7	65.7	70.0	65.0	75.8	73.4	37.9	地政学リスク	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ5: 地政学リスクが77.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は37.9。
6	76.8	69.7	67.0	70.9	68.2	76.1	74.9	33.5	地政学リスク	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ6: 地政学リスクが76.8。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は33.5。
7	76.3	73.4	69.3	75.1	70.9	77.0	77.8	31.2	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ7: SNS不安増幅が77.8。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は31.2。
8	77.2	72.7	75.7	75.4	73.1	77.0	81.1	29.1	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ8: SNS不安増幅が81.1。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は29.1。
9	77.6	71.5	79.9	76.1	75.0	77.2	84.0	27.3	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、イスラエル(間接衝突)、ロシア(間接衝突)	ステップ9: SNS不安増幅が84.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、イスラエル(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は27.3。
10	77.5	74.3	80.2	75.9	77.2	77.5	84.8	25.3	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ10: SNS不安増幅が84.8。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は25.3。
11	70.1	68.3	75.2	72.3	74.6	72.5	79.9	28.7	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ11: SNS不安増幅が79.9。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は28.7。
12	69.6	66.8	77.4	72.4	75.3	72.1	80.8	27.5	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ12: SNS不安増幅が80.8。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は27.5。
13	71.1	66.5	79.2	73.5	77.8	73.0	83.1	25.1	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ13: SNS不安増幅が83.1。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は25.1。
14	69.2	63.0	74.1	65.2	76.0	65.5	79.2	28.4	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ14: SNS不安増幅が79.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は28.4。
15	70.3	61.5	72.9	65.0	75.5	65.5	73.1	27.1	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ15: 財政圧力が75.5。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は27.1。
16	72.0	62.3	73.6	66.2	79.6	67.0	74.6	23.9	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ16: 財政圧力が79.6。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は23.9。
17	73.1	62.6	76.1	67.6	80.7	68.3	79.5	22.0	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ17: 財政圧力が80.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は22.0。
18	73.4	62.9	76.0	68.6	81.5	69.4	81.9	21.2	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ18: SNS不安増幅が81.9。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は21.2。
19	67.6	59.0	70.8	66.4	78.3	65.4	77.1	25.1	財政圧力	ウクライナ(限定戦争)	ステップ19: 財政圧力が78.3。高リスク国: ウクライナ(限定戦争)。日本の緩衝政策余力は25.1。
20	68.3	59.0	73.1	68.1	79.2	66.8	80.3	23.4	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ20: SNS不安増幅が80.3。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は23.4。
21	66.0	46.3	69.6	66.4	77.0	64.3	75.9	26.5	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ21: 財政圧力が77.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は26.5。
22	65.4	46.9	68.6	65.9	77.9	64.0	76.3	25.9	財政圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ22: 財政圧力が77.9。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は25.9。
23	67.3	48.7	71.3	70.3	79.1	66.3	80.1	24.0	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ23: SNS不安増幅が80.1。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は24.0。
24	69.2	52.5	73.5	71.6	79.4	68.4	81.5	22.7	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ24: SNS不安増幅が81.5。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は22.7。
25	69.9	54.4	76.2	73.4	80.3	69.5	83.5	21.8	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ25: SNS不安増幅が83.5。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は21.8。
