イベントID	step	区分	イベント名	強度_0to1	対象	主な影響方向	発生源	関連国	日本社会状態	若者への入力文
OE001	1	組織判断	企業・組織の採用育成判断	0.33	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	首都圏業務支援株式会社: 新卒は少数精鋭、AI運用・品質管理の中途比率を上げる / 未来通信システム株式会社: 新卒は厳選しつつ、中途・即戦力比率を上げる / 北関東精密加工株式会社: 新卒は技能系を必要数、即戦力中途と外注で補完	首都圏業務支援株式会社: 新卒枠縮小で競争増、AI運用スキルが早期に必須化 / 未来通信システム株式会社: 採用枠は絞られ、AI適性評価への不安が強まる / 北関東精密加工株式会社: 現場技能＋AI運用が評価軸化、育成負荷は増加 現役側には 首都圏業務支援株式会社: 定型業務縮小で再配置と学習圧、外注・契約の不安定化 / 未来通信システム株式会社: 再学習と職務再定義が加速し負荷が増える / 北関東精密加工株式会社: 自動化で役割再編、現場抵抗と再訓練負担が増す
WE001	1	戦争	世界限定戦争発生	0.95	全体	将来予見性↓ 生活防衛↑ 制度信頼↓	国家LLMリスク段階	ウクライナ	ステップ1: 地政学リスクが65.9。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は50.0。	ウクライナが限定戦争段階に入り、長期計画と生活安心感が揺らぐ。
WE002	1	世界イベント	間接衝突拡大	0.72	全体	地政学リスク↑ SNS不安↑	国家LLMリスク段階	北朝鮮、ロシア、イスラエル	ステップ1: 地政学リスクが65.9。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は50.0。	北朝鮮、ロシア、イスラエルの間接衝突化により、SNS上の不安と将来予見性の低下が強まる。
WE003	1	世界イベント	供給網不安拡大	0.20	全体	物価不安↑ 雇用安定↓	供給網不安	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ1: 地政学リスクが65.9。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は50.0。	供給網の不安定化により、物価と企業採用への不安が残る。
OE002	2	組織判断	企業・組織の採用育成判断	0.44	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	未来通信システム株式会社: 新卒は厳選維持、中途で即戦力確保と内製化強化 / 関東広域ロジスティクス株式会社: 新卒は管理・保守候補に絞り、中途DX・保全を厚く / 首都圏業務支援株式会社: 新卒は最小枠、AI運用・監査の中途を優先	未来通信システム株式会社: 選別強化で不安増、入社後のAI必修で成長機会は増 / 関東広域ロジスティクス株式会社: 現場技能より運用・保全志向が強まり、選別不安も残る / 首都圏業務支援株式会社: 新卒枠縮小で不安増、AI監督系スキル志向が強まる 現役側には 未来通信システム株式会社: 再学習と職務再編圧力増、雇用は維持寄りで摩擦も増 / 関東広域ロジスティクス株式会社: 再配置と技能転換が進む一方、負荷増と不安が増える / 首都圏業務支援株式会社: 再配置と再学習圧が増え、雇用不安は外注側に偏る
WE004	2	世界イベント	半導体・計算資源制約	0.20	全体	学習機会格差↑ 雇用不安↑	計算資源制約	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ2: 地政学リスクが67.4。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は46.9。	計算資源と半導体制約により、AI利用格差と進路不安が広がる。
WE005	2	世界イベント	AI雇用不安増幅	0.20	全体	希望経路↓ 自己効力感↓	雇用不確実性	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ2: 地政学リスクが67.4。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は46.9。	AIと景気の不確実性により、努力が報われる経路が見えにくくなる。
WE006	2	世界イベント	地政学SNS不安拡散	0.20	全体	不安↑ 怒り↑ 逃避行動↑	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ2: 地政学リスクが67.4。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は46.9。	危機情報がSNSで増幅し、不安と怒りが日常会話に入り込む。
WE007	2	制度制約	財政制約による支援遅れ	0.20	全体	制度信頼↓ 裏切られ感↑	日本社会状態	日本	ステップ2: 地政学リスクが67.4。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は46.9。	財政圧力により若者支援や生活支援が遅れ、制度への失望が出やすい。
FB001	3	社会反応	情報過敏の拡大	0.32	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	公平感欠損59.7、政策疲労54.6、情報過敏28.6	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
FB001	3	社会反応	情報過敏の拡大	0.32	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	公平感欠損59.7、政策疲労54.6、情報過敏28.6	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
