step	agent_count	population_weight_total	average_pathway	average_support	average_intensity	良好_share	中立_share	注意_share	危険_share	withdrawal_pressure	institution_demand_pressure	livelihood_defense_pressure	learning_transition_pressure	solidarity_pressure	information_overload_pressure	care_pressure	side_effect_pressure	policy_fatigue_pressure	fairness_gap_pressure	coercion_pressure	fiscal_anxiety_pressure	feedback_summary
1	20	75.0	48.6	42.9	56.1	0.0	36.7	53.0	10.3	2.8	8.8	14.2	7.0	0.0	24.2	5.0	89.7	48.6	55.8	0.0	5.8	公平感欠損55.8、政策疲労48.6、情報過敏24.2
2	20	75.0	45.5	39.8	61.7	0.0	11.7	78.0	10.3	2.6	9.6	14.9	3.5	0.0	28.6	5.6	100.0	54.6	59.7	0.0	0.0	公平感欠損59.7、政策疲労54.6、情報過敏28.6
3	20	75.0	42.5	37.0	66.1	0.0	0.0	89.7	10.3	3.5	5.3	40.5	2.2	0.0	14.2	5.9	100.0	60.8	63.3	0.0	11.7	公平感欠損63.3、政策疲労60.8、生活防衛40.5
4	20	75.0	39.0	34.1	70.2	0.0	0.0	89.7	10.3	3.6	6.9	29.8	1.5	0.0	26.8	6.1	100.0	66.1	67.0	0.0	17.5	公平感欠損67.0、政策疲労66.1、生活防衛29.8
5	20	75.0	36.0	31.8	72.6	0.0	0.0	89.7	10.3	3.6	7.7	25.4	3.5	0.0	30.4	6.2	100.0	71.4	70.3	0.0	5.8	政策疲労71.4、公平感欠損70.3、情報過敏30.4
6	20	75.0	32.7	28.7	76.0	0.0	0.0	89.7	10.3	3.7	10.7	51.0	7.0	0.0	10.2	6.5	100.0	77.1	74.3	0.0	0.0	政策疲労77.1、公平感欠損74.3、生活防衛51.0
7	20	75.0	28.2	25.2	77.7	0.0	0.0	89.7	10.3	3.6	9.4	41.1	2.3	0.0	24.0	6.6	100.0	81.9	78.4	0.0	0.0	政策疲労81.9、公平感欠損78.4、生活防衛41.1
8	20	75.0	25.0	22.3	79.5	0.0	0.0	89.7	10.3	3.7	12.3	56.1	2.3	0.0	10.1	6.8	100.0	86.0	81.7	0.0	0.0	政策疲労86.0、公平感欠損81.7、生活防衛56.1
9	20	75.0	21.4	18.8	80.8	0.0	0.0	80.8	19.2	7.0	10.7	52.6	1.4	0.0	15.9	6.8	100.0	89.3	85.1	0.0	0.0	政策疲労89.3、公平感欠損85.1、生活防衛52.6
10	20	75.0	19.2	16.5	82.5	0.0	0.0	61.7	38.3	19.3	9.3	50.4	0.5	0.0	15.2	6.9	100.0	92.1	87.8	0.0	5.8	政策疲労92.1、公平感欠損87.8、生活防衛50.4
